doc_id,file_name,file_path,file_size_mb,file_sha256,industry,title,publisher,publish_date,region_scope,page_count,pdf_metadata_title,pdf_metadata_author,pdf_metadata_creation_date,is_encrypted,document_type,source_quality_provisional,notes
新型显示白皮书_7f4f945d7c21,新型显示白皮书.pdf,D:\产业链建模\data\raw_pdf\新型显示白皮书.pdf,1.41,7f4f945d7c21e1b10c89aeb1bd6ea2db502c166ae6394d9294a785f7eec6dd6a,半导体,unknown,cesirohsckw,unknown,unknown,36,,cesirohsckw,2019-08-09,no,white_paper,unknown,title unknown; publisher from PDF author metadata; publish_date unknown; region_scope unknown
中国半导体白皮书_1b73a8b1f91b,中国半导体白皮书.pdf,D:\产业链建模\data\raw_pdf\中国半导体白皮书.pdf,1.93,1b73a8b1f91b1c20b1bd8fdaff2731477dbac3feed3091c973126e8db0454b54,半导体,中国半导体白皮书,unknown,unknown,中国,25,,,2022-08-04,no,white_paper,unknown,title from document profile china_semiconductor_whitepaper; publisher unknown; publish_date unknown; region_scope from document profile china_semiconductor_whitepaper
